treeno,species,x,y,dbh,ht,cw
409,12,95.745,32.852,31,15.7,43.8
410,2,94.412,31.716,6.5,6.4,34.8
411,2,93.233,30.298,4,4.5,33
412,12,93.519,31.192,7.7,7.8,35.1
413,2,92.012,30.47,2.2,2.9,31.9
414,2,90.643,31.776,4.8,5.1,33.1
415,2,92.06,33.154,5.4,5.6,34.1
416,12,89.741,33.384,6.8,7.2,34.3
417,2,91.495,35.717,11.2,9.7,37
418,9,92.312,35.922,2.9,3.9,33.8
419,2,94.185,35.048,9.5,8.6,36.8
420,12,95.245,34.449,4.3,5.1,34.8
421,12,94.965,35.451,5.7,6.3,35.6
422,2,94.799,37.047,8.7,8,37.1
423,9,98.355,36.137,8.2,8.4,37.8
424,2,99.748,37.913,9.4,8.5,38.9
425,2,98.722,37.969,7.6,7.2,37.9
426,2,95.265,39.56,6.5,6.4,36.9
427,2,94.132,38.598,7.4,7.1,36.8
428,6,92.54,39.072,15.5,14.4,40.4
429,13,90.859,37.752,34.9,20.2,45.9
430,12,86.263,39.8,19.6,13.2,39.7
431,2,86.499,39.077,15.7,12.3,38.4
432,12,84.736,38.696,1.8,2.4,31.9
433,12,84.757,34.943,16.1,12.1,37
434,2,81.739,30.101,6.7,6.6,31.3
435,6,80.955,34.011,15,14.2,36
436,2,82.546,38.415,8.9,8.2,34.5
437,12,81.728,38.134,22.7,14,39.2
438,9,82.079,38.759,1.5,2.2,31.1
439,2,80.44,38.498,5.4,5.6,32.5
440,2,80,39.587,8.2,7.7,33.9
441,2,79.647,39.478,9.2,8.4,34.2
442,1,79.757,37.665,4,4.5,31.5
443,2,77.787,38.255,6.4,6.4,32.2
444,2,77.468,39.095,5.3,5.5,31.8
445,9,76.358,39.082,7.3,7.8,32.6
446,2,73.525,39.083,7.3,7,31.7
447,2,73.1,37.742,4,4.5,29.8
448,2,74.651,38.378,9.1,8.3,32.6
449,13,76.343,38.479,40.7,21.1,44.2
450,12,77.222,38.287,11.7,10.2,34.3
451,13,76.9,38.681,24.9,17.9,39.6
452,9,77.69,35.877,5.2,6.1,31.2
453,9,76.75,34.317,11.5,10.4,33.2
454,2,78.533,34.101,5.7,5.8,31
455,2,77.031,33.003,6.6,6.5,30.8
456,12,77.069,31.942,22.3,13.9,36.3
457,2,74.695,30.585,5,5.3,28.9
458,2,74.891,33.107,8.5,7.9,31.1
459,2,74.162,34.251,6.2,6.2,30.2
460,9,73.443,33.709,7.5,7.9,30.6
461,9,71.515,30.777,9.6,9.3,30.3
462,1,66.194,31.628,15.6,12.3,31.4
463,2,67.087,31.537,1.8,2.6,25.8
464,12,60.401,31.178,20.1,13.4,31.3
465,6,60.42,33.703,33.5,19.9,36.9
466,9,65.217,35.022,8.8,8.8,29.5
467,12,67.758,38.776,16.1,12.1,33.7
468,12,68.637,39.768,11.8,10.2,32.6
469,12,67.807,39.88,19,13,34.9
470,9,59.601,38.104,7.6,8,28.3
471,9,58.335,36.551,7.7,8.1,27.7
472,2,58.516,34.357,8.6,8,27.4
473,2,57.029,35.661,4.3,4.7,25.4
474,9,54.974,35.09,7.4,7.9,26.3
475,9,54.635,38.709,8,8.3,27.4
476,2,56.88,38.757,11,9.5,29
477,2,56.092,40,5.4,5.6,26.8
478,2,54.239,39.8,3,3.6,25.2
479,12,53.196,39.051,18.6,12.9,30.9
480,2,52.464,41.356,6,6.1,26.5
481,1,52.601,36.563,7.3,7,25.9
482,2,52.085,36.784,10.4,9.2,27.1
483,9,51.388,36.39,5.7,6.5,25
484,9,51.349,36.268,6.6,7.3,25.4
485,2,49.683,34.365,15.5,12.2,27.9
486,2,47.396,31.334,5.5,5.7,22.5
487,1,47.181,33.429,8.8,8.1,24.4
488,12,44.972,32.099,16.2,12.1,26.3
489,12,44.691,32.689,17.8,12.6,27
490,2,44.936,34.492,2.3,3,21.2
491,12,40.637,32.755,20,13.3,26.7
492,2,41.033,35.139,7.1,6.9,22.5
493,2,42.501,36.227,4.3,4.7,21.9
494,2,41.883,38.531,6.4,6.4,23.3
495,2,44.928,38.986,3.5,4.1,22.9
496,2,42.019,38.838,4.7,5.1,22.7
497,6,41.471,39.8,20.6,16.5,29.6
498,2,39.585,37.699,4.2,4.6,21.5
499,12,39.591,35.773,17,12.4,26.2
500,2,37.648,33.598,5.8,5.9,20.7
501,2,38.638,31.933,7.3,7,21.2
502,12,38.874,31.003,17.8,12.6,25.1
503,2,35.837,35.868,8.4,7.8,22
504,2,36.122,38.277,8.5,7.9,22.7
505,12,37.433,38.037,21.2,13.7,27.6
506,14,37.967,38.392,12.1,10.2,24.7
507,2,35.071,39.056,4.6,5,20.9
508,2,34.769,40.499,6.4,6.4,22
509,2,33.567,39.065,3.6,4.2,20.1
510,12,34.319,38.069,15.5,11.8,24.9
511,12,33.605,36.114,21.6,13.8,26.3
512,12,30.82,36.264,14.5,11.4,23.3
513,2,30.929,31.765,8.1,7.6,19.6
514,2,27.015,31.194,3.5,4.1,16.4
515,2,25.639,30.784,6.9,6.7,17.5
516,2,26.516,33.054,5.4,5.6,17.6
517,9,27.294,34.31,3.7,4.7,17.5
518,2,25.367,36.739,8.4,7.8,19.6
519,2,27.114,38.698,5.4,5.6,19.2
520,12,24.353,39.236,37.9,16.7,29.6
