Number	x	y	species	dbh	height	CL
94059	361.258	251.168	1	11.2	8.5 	4.7 
94059.2	361.258	251.168	1	11.1	9.4 	5.5 
94066	365.374	256.27	1	6.2	6.2 	4.6 
94067	366.891	257.608	1	9.5	8.4 	7.6 
94072	360.052	258.501	1	11.7	10.3 	8.7 
94072.2	360.052	258.501	1	10.2	9.0 	5.4 
94176	391.62	264.179	1	43.2	14.2 	6.3 
94179	384.482	264.628	1	5.7	99.0 	2.4 
94180	383.591	263.815	1	8.1	11.4 	9.4 
94189	385.353	266.414	1	8.5	8.7 	5.0 
94201	371.142	271.544	1	6.8	13.1 	4.7 
94223	364.266	270.951	1	5.3	8.6 	7.9 
94223.2	364.266	270.951	1	2.9	5.5 	4.1 
94226	367.724	273.958	1	8.6	8.3 	6.7 
94228	366.972	275.123	1	5.8	9.7 	8.3 
94237	367.743	278.089	1	10.2	11.0 	2.2 
94255	351.668	262.747	1	12.9	11.6 	10.0 
94259	353.794	266.99	1	3.5	3.2 	2.1 
94259.2	353.794	266.99	1	1.4	4.8 	3.9 
94293	344.339	270.718	1	13.2	10.7 	2.0 
94300	338.17	273.799	1	10.3	10.2 	8.9 
94300.2	338.17	273.799	1	9.1	8.4 	5.2 
94305	345.435	272.275	1	8.3	11.6 	5.8 
94327	324.703	261.808	1	12.5	9.6 	6.8 
94327.2	324.703	261.808	1	10.9	9.3 	5.5 
94330	335.207	261.58	1	9.3	9.8 	8.3 
94332	336.425	264.036	1	13.8	10.8 	9.6 
94332.2	336.425	264.036	1	9.5	8.6 	5.3 
94338	330.188	268.025	1	11.3	10.7 	8.6 
94342	321.637	267.119	1	12.6	11.9 	9.7 
94344	325.356	269.78	1	5.7	9.2 	4.3 
94353	325.593	271.894	1	5.7	8.1 	7.6 
94355	321.524	270.531	1	13.5	10.4 	9.1 
94359	322.884	274.976	1	3.4	4.3 	2.6 
94360	322.716	275.872	1	8.1	11.2 	8.7 
94362	321.655	277.143	1	15.9	11.3 	8.7 
94363	321.12	276.875	1	3.3	6.2 	5.7 
94364	321.285	277.473	1	5.1	7.3 	6.0 
94365	324.19	278.519	1	3.7	5.7 	5.2 
94374	330.962	279.524	1	7.9	11.2 	9.3 
94380	300.572	262.163	1	4.8	6.4 	4.4 
94381	301.247	262.094	1	7.5	7.7 	4.9 
